CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov
1039836	598	73	75	399	58	75
1038880	2993	339	98	1418	197	98
1039348	1470	165	90	666	91	90
1023948	397	52	93	307	50	93
1023720	577	71	70	375	57	70
1023338	255	38	95	175	33	95
1038898	984	115	90	616	85	90
1038730	8174	908	105	5023	689	105
1038630	565	67	72	354	52	72
1002745	1770	196	123	1083	149	123
1001803	2267	237	86	1094	142	86
1002458	274	40	98	180	33	98
1038996	29877	3293	72	17079	2257	72
1038856	4282	466	116	2162	294	116
1038618	761	94	83	486	74	83
1023899	850	95	121	593	81	121
1023634	1921	219	94	1106	154	94
1023333	228	33	97	147	26	97
1038875	1894	209	96	1750	237	96
1038704	13187	1428	82	5659	736	82
1038601	3080	341	100	1725	237	100
1002723	949	119	73	508	81	73
1002528	392	55	96	277	46	96
1002453	2737	308	124	1087	149	124
1038979	9607	980	74	5474	670	74
1038854	1294	154	114	1008	143	114
1039234	1641	179	88	901	116	88
1023863	311	46	94	187	34	94
1023630	1303	142	87	774	102	87
1023308	653	85	117	440	73	117
1038868	1562	173	87	862	116	87
1038700	1416	167	116	1305	186	116
1021151	1029	116	87	426	63	87
1002699	390	52	97	237	42	97
1002501	686	80	82	498	71	82
1002441	550	65	105	395	59	105
1038975	4378	491	75	3391	462	75
1038815	6560	715	119	2828	355	119
1039210	5729	633	75	2601	357	75
1023849	259	39	100	174	31	100
1023593	791	95	92	424	66	92
1038945	6048	697	122	2132	291	122
1038843	872	104	86	534	80	86
1038683	1584	172	130	1386	175	130
1021101	1893	214	90	1189	164	90
1002697	313	43	100	214	35	100
1001780	634	77	81	440	66	81
1002413	465	59	95	400	55	95
1226559	385	50	100	241	40	100
1227032	4003	440	125	2739	361	125
1230800	4551	456	80	2841	356	80
1230665	1971	211	127	1572	207	127
1230487	581	71	90	426	65	90
1195942	2112	223	147	1453	194	147
1195887	3522	381	90	2481	341	90
1225772	720	84	81	704	104	81
1195684	1237	132	130	792	104	130
1225511	724	85	84	501	74	84
1226065	318	41	100	204	34	100
1226537	782	91	84	493	70	84
1226206	800	89	131	444	64	131
1230771	2708	295	94	1736	224	94
1230664	2063	223	120	1148	150	120
1230347	319	44	97	196	35	97
1195924	1140	134	120	708	100	120
1195854	700	80	73	462	66	73
1195767	675	83	100	490	72	100
1225763	18280	1856	70	11823	1452	70
1224990	856	98	116	735	95	116
1226212	3979	404	80	2176	275	80
1225317	391	49	98	294	45	98
1226533	1806	202	97	973	136	97
1230966	399	50	100	266	41	100
1230769	1564	168	92	1240	163	92
1230607	368	47	98	254	39	98
1230309	378	48	97	252	42	97
1195906	485	59	100	387	57	100
1195838	1920	204	93	986	132	93
1195763	376	47	98	229	35	98
1225744	4448	483	82	2622	346	82
1224970	496	63	98	328	50	98
1226169	122	23	100	83	21	100
1243273	1346	143	92	854	114	92
1230752	3417	348	89	1501	191	89
1230583	439	55	97	311	47	97
1230278	2005	211	92	999	132	92
1225990	1173	132	127	486	72	127
1225890	480	58	98	287	45	98
1195760	536	66	100	390	59	100
1225734	1368	140	89	896	117	89
1224925	965	111	126	809	110	126
1225428	187	28	98	134	26	98
1225217	3831	397	118	2770	352	118
1226487	198	31	100	113	25	100
1230916	4193	456	117	2808	352	117
1230732	1776	189	88	1142	155	88
1230552	186	29	97	162	29	97
1230263	204	30	96	178	33	96
1225955	1275	136	115	1136	145	115
1225883	556	65	92	394	62	92
1195754	384	48	100	273	41	100
1225724	1293	146	103	708	103	103
1225627	1690	198	149	1082	145	149
1226138	389	51	100	245	43	100
1225193	1358	144	122	923	121	122
1227140	486	58	97	321	50	97
1230895	275	36	95	193	33	95
1230703	218	30	98	153	28	98
1230550	1224	128	129	1001	135	129
1195964	201	29	95	176	31	95
1195895	700	77	121	562	80	121
1225859	938	101	90	653	87	90
1195747	221	30	95	148	26	95
1195699	2028	211	93	1515	184	93
1226313	491	61	91	321	50	91
1196021	833	90	86	794	102	86
1225179	1483	166	136	931	129	136
1226392	1065	123	104	766	111	104
1230873	3230	312	109	1811	213	109
1230698	958	110	103	480	72	103
1230537	2579	256	134	1846	213	134
1195959	736	84	68	441	67	68
1195892	1561	163	123	1095	134	123
1225852	413	54	98	304	49	98
1195703	314	40	94	293	43	94
1225559	788	86	115	685	89	115
1225170	996	110	130	868	119	130
1226377	1117	120	103	610	83	103
1230835	816	92	125	643	87	125
1230674	6938	740	79	4016	494	79
1230520	7541	742	109	4489	544	109
1195947	1089	120	94	885	113	94
1195889	172	27	97	130	25	97
1195775	232	34	100	234	39	100
1225780	1168	129	126	815	108	126
1195689	517	63	96	305	47	96
1225550	1816	197	150	1481	202	150
1225338	387	49	100	277	43	100
1225160	493	65	100	408	64	100
638216	295	43	98	215	38	98
670834	2148	266	124	1244	190	124
468297	1804	204	95	977	134	95
963176	3416	381	117	1944	273	117
820177	4127	459	89	2867	392	89
750652	272	38	97	230	39	97
735790	2246	252	102	1092	160	102
681783	857	97	123	716	95	123
390128	2639	282	98	1924	267	98
722259	382	50	95	243	39	95
693294	258	38	97	159	31	97
680470	762	87	119	571	78	119
639685	1626	181	102	968	133	102
640140	242	34	96	135	26	96
445665	179	29	100	163	31	100
921551	942	106	127	932	125	127
808955	820	95	88	517	75	88
748650	7073	684	104	4427	513	104
734262	929	110	91	680	96	91
680179	319	40	97	235	37	97
367115	1219	137	92	941	126	92
717887	873	101	109	592	87	109
681805	2701	291	85	1601	213	85
678913	782	89	125	364	56	125
639382	920	110	96	595	92	96
636225	1960	219	118	1640	220	118
444735	766	94	91	587	92	91
920570	3104	344	111	2339	318	111
777346	1706	190	94	1344	185	94
748459	1180	143	113	931	141	113
734015	581	71	67	539	80	67
680175	3446	389	106	2167	311	106
355508	867	98	85	711	104	85
717625	246	37	93	176	34	93
681657	885	102	94	738	108	94
678733	1246	145	116	687	104	116
776054	784	91	85	618	84	85
583913	332	45	91	215	36	91
442058	496	63	92	377	55	92
871479	474	63	93	292	45	93
777339	128	24	100	107	23	100
748308	708	85	129	461	67	129
723189	257	36	100	154	29	100
679492	2410	256	132	2137	271	132
353040	1290	139	91	611	84	91
716972	312	43	98	255	43	98
681648	157	26	98	136	27	98
677145	187	31	98	139	29	98
750428	1022	118	97	604	89	97
577841	771	90	115	511	81	115
439864	1539	177	97	1127	169	97
871232	3052	328	86	1658	220	86
765039	953	109	92	590	90	92
748113	1871	203	111	1679	210	111
720892	174	28	91	171	33	91
671036	466	58	91	335	54	91
349446	2710	292	100	1260	178	100
716942	145	24	95	107	23	95
681482	171	29	96	144	29	96
676386	154	24	89	129	24	89
720107	270	38	98	173	31	98
577486	622	77	110	410	63	110
438635	2077	222	90	1683	213	90
851484	179	28	95	145	27	95
764951	361	48	97	236	39	97
746596	210	32	95	149	29	95
693650	1286	143	83	1210	158	83
660623	865	112	155	435	73	155
334490	1262	133	87	1129	146	87
696896	933	100	108	684	96	108
680911	936	104	89	855	117	89
671755	219	31	91	152	28	91
681810	716	89	90	949	137	90
571096	9146	963	98	6557	851	98
406655	2347	225	92	1681	203	92
832342	501	57	83	501	69	83
764717	954	103	96	682	88	96
738199	761	88	116	629	91	116
692779	859	99	97	598	83	97
657946	573	74	94	259	46	94
334181	9856	1037	78	3716	458	78
694334	2502	288	119	1592	228	119
680715	3405	368	87	2335	298	87
671513	2199	241	127	1349	188	127
670962	255	37	97	175	32	97
484206	402	57	95	287	52	95
351305	956	92	85	478	61	85
820638	1440	148	114	1119	142	114
752212	3558	369	81	2060	261	81
737758	414	51	100	293	45	100
692292	580	72	93	468	71	93
640127	509	66	100	392	64	100
722309	2328	269	79	1716	236	79
694087	715	88	121	529	80	121
680492	657	81	91	576	84	91
670181	683	78	121	524	73	121
1224502	4814	477	81	2492	296	81
596956	173	26	96	105	22	96
596683	1864	195	97	1664	206	97
596632	621	75	141	430	64	141
597261	137	24	98	121	25	98
596366	181	29	98	142	28	98
596247	1198	134	91	1086	141	91
1211217	2528	268	119	1701	225	119
1222882	908	104	91	522	71	91
1223064	2271	254	121	1562	216	121
1211588	3076	330	85	1512	188	85
1223764	2162	242	125	879	129	125
1224496	8012	836	75	21338	2711	75
596933	135	23	98	111	23	98
596681	380	50	96	259	44	96
596630	531	63	115	366	56	115
596531	490	59	71	328	52	71
596360	7507	753	106	4505	573	106
597375	1307	146	91	1174	161	91
1210461	1939	208	121	1206	161	121
1222787	1260	140	91	610	86	91
1211452	3175	334	89	1778	230	89
1223761	3571	394	125	4712	606	125
1224492	944	107	97	924	121	97
596672	1194	132	90	711	95	90
596629	232	34	94	139	27	94
597257	1572	167	87	1613	198	87
597078	2593	286	112	1513	199	112
1210640	1021	114	92	688	92	92
1210415	779	91	112	510	76	112
1222766	1687	174	93	970	124	93
1211707	2068	237	129	1304	186	129
1210678	1281	130	98	799	101	98
1223739	2848	304	112	2658	360	112
1224468	813	90	90	463	66	90
596847	138	24	97	112	23	97
596668	1132	127	90	940	131	90
597233	184	29	97	126	26	97
597075	1018	110	142	683	93	142
1211308	2071	219	89	1195	159	89
1211133	2375	255	127	1526	203	127
1222753	2801	290	83	1754	227	83
1211698	2761	278	116	1955	235	116
1211398	919	106	89	687	96	89
1222999	7251	707	119	4490	520	119
1224454	9907	936	82	6274	692	82
596846	6420	658	106	3938	515	106
597372	2849	281	81	2912	345	81
597310	5985	682	112	4107	588	112
596455	491	61	94	389	57	94
597065	30	14	73	30	14	73
1211293	1340	151	104	757	101	104
1210343	3190	368	115	1932	268	115
1222665	26485	2740	77	11034	1339	77
1211659	2236	238	110	1770	231	110
1210652	1550	165	94	1095	144	94
1224388	736	81	114	527	72	114
1224378	1238	138	90	771	108	90
596813	1978	216	140	1589	214	140
596643	914	106	91	685	99	91
597293	689	74	127	459	63	127
597159	829	97	88	644	91	88
597030	225	34	97	155	29	97
1211290	2344	247	84	1565	203	84
1222578	14463	1501	79	6109	755	79
1211650	1661	179	135	1077	138	135
1223990	2325	252	83	1326	176	83
1224369	749	85	119	523	74	119
1224259	16227	1683	86	5426	688	86
596799	466	57	98	322	50	98
596642	203	31	97	135	26	97
597285	190	30	96	130	26	96
597157	2171	234	88	2735	340	88
597022	3936	420	93	2603	344	93
1210557	2102	229	92	1338	173	92
1222968	8837	885	107	5099	617	107
1222560	2936	326	87	1628	214	87
1210910	3348	352	105	2067	259	105
1223942	1276	123	97	848	102	97
1224368	1081	102	119	738	89	119
596973	693	81	91	451	67	91
596790	1024	113	126	699	96	126
596633	122	23	98	113	24	98
597097	166	27	98	140	28	98
597004	1078	117	122	1523	196	122
1211260	1014	113	94	599	85	94
1222894	2282	229	111	1257	153	111
1211618	1656	183	122	1184	151	122
1223891	5787	527	81	3354	391	81
1224367	1250	121	124	829	101	124
1432976	1717	182	96	872	116	96
1430827	1330	151	116	847	113	116
1383720	434	55	92	371	57	92
1383594	579	67	95	482	65	95
1384126	140	25	91	96	22	91
1396864	1636	174	151	2609	321	151
1397046	574	69	90	440	65	90
1383851	228	32	97	148	27	97
408629	531	64	91	368	54	91
406747	219	30	97	290	40	97
406629	854	96	84	675	93	84
407191	411	50	96	292	42	96
1433663	934	100	85	590	79	85
1383790	9378	1018	121	5583	754	121
1383710	1401	150	86	904	118	86
1383553	872	107	118	456	71	118
1383357	1233	131	79	988	126	79
1396665	16563	1850	112	10065	1408	112
1396033	315	41	100	200	33	100
1383847	583	76	100	351	57	100
407674	3020	303	79	3670	427	79
407471	3020	342	116	1991	279	116
406612	1163	126	85	817	104	85
407176	1521	164	124	841	119	124
1434243	782	89	85	606	86	85
1383784	806	93	114	504	69	114
1383654	944	107	85	562	82	85
1383543	3243	316	127	2192	254	127
1383276	224	34	100	166	32	100
1395874	2093	217	126	1388	179	126
1395288	1287	120	92	1064	126	92
1383836	1689	151	136	1217	134	136
407667	1306	138	94	948	119	94
406734	778	85	103	589	81	103
405828	1195	140	96	1115	149	96
406434	574	69	100	495	71	100
1434214	468	57	97	277	42	97
1383772	3132	330	126	1574	209	126
1383646	1901	204	86	1323	169	86
1383538	326	44	100	220	38	100
1383182	925	102	78	455	64	78
1396579	1255	153	121	956	139	121
1383996	1331	116	93	1014	108	93
1383835	557	63	100	240	38	100
407645	1592	163	97	967	124	97
407410	494	58	100	395	53	100
407267	2395	257	95	1187	158	95
1433414	125	23	96	103	23	96
1383766	6368	673	107	4020	525	107
1383633	3757	397	84	2312	299	84
1384195	566	66	100	323	48	100
1383163	521	65	92	289	47	92
1397218	891	100	126	574	78	126
1383872	3834	397	79	2534	331	79
1383826	5299	574	117	3037	420	117
406903	1379	152	89	1167	162	89
405990	317	42	100	223	37	100
406506	1077	119	87	877	121	87
407137	1394	144	138	1240	146	138
1434019	799	92	93	533	75	93
1383749	647	77	100	557	77	100
1383632	1391	146	97	1122	147	97
1383434	589	69	100	394	57	100
1383143	1042	114	85	491	70	85
1397175	2487	272	156	1755	227	156
1383865	3034	316	94	2956	358	94
407987	762	84	116	595	78	116
407582	3808	411	85	5787	733	85
405956	824	88	124	570	74	124
407212	1001	110	85	679	94	85
407119	1146	123	143	757	97	143
1433164	712	84	81	487	72	81
1383726	1094	115	125	1016	131	125
1383625	925	103	79	479	71	79
1384160	1790	182	138	1013	125	138
1383115	475	60	97	307	49	97
1397130	1606	169	135	1092	140	135
1383863	112	22	96	86	20	96
407944	388	49	100	312	46	100
407559	1399	157	87	1077	145	87
405925	819	94	116	638	83	116
405783	828	94	93	609	87	93
406363	367	46	100	337	52	100
1430976	1725	190	100	1123	149	100
1383721	1079	116	138	597	79	138
1383596	3464	367	89	1394	180	89
1383423	2795	292	138	2086	264	138
1383094	1034	114	90	552	77	90
